,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_degree,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
14,282.34260241190594,70.50830658276875,0.060367686052678095,0.06151072339042138,0.01,4,rbf,"{'C': 0.01, 'degree': 4, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,1.4734688437624164,0.5640584636854291,0.010438801573328093,0.011964707141272648
15,279.98566794395447,66.80730565388997,0.060367686052678095,0.06146656158155369,0.01,4,sigmoid,"{'C': 0.01, 'degree': 4, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,1.822241021418154,0.2996234194948483,0.010438801573328093,0.011902252919469787
16,278.2686638037364,64.72931377092998,0.060367686052678095,0.06146656158155369,0.01,5,linear,"{'C': 0.01, 'degree': 5, 'kernel': 'linear'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,2.2159509233449266,0.5040112647405524,0.010438801573328093,0.011902252919469787
17,279.422870238622,64.53159666061401,0.06222379353013965,0.06318887212739364,0.01,5,poly,"{'C': 0.01, 'degree': 5, 'kernel': 'poly'}",99,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.0807222517259692,0.0834658187599364,2.001828035186686,0.19227118772605287,0.013066519227280915,0.014337967616497423
18,285.8039888540904,69.71067476272583,0.060367686052678095,0.06151072339042138,0.01,5,rbf,"{'C': 0.01, 'degree': 5, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,2.7783221535052998,0.5788538920706001,0.010438801573328093,0.011964707141272648
19,283.6759301821391,67.71330189704895,0.060367686052678095,0.06146656158155369,0.01,5,sigmoid,"{'C': 0.01, 'degree': 5, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,1.9374511307313893,1.0413585176815758,0.010438801573328093,0.011902252919469787
20,277.11832722028095,67.9272490342458,0.060367686052678095,0.06146656158155369,0.01,6,linear,"{'C': 0.01, 'degree': 6, 'kernel': 'linear'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,1.3940281626024038,1.574228998105174,0.010438801573328093,0.011902252919469787
21,287.4819854100545,71.15777730941772,0.06293088209298214,0.06376297564267364,0.01,6,poly,"{'C': 0.01, 'degree': 6, 'kernel': 'poly'}",95,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.08284652150823155,0.08518812930577636,7.984320372705081,0.47508720221093587,0.014067554648538283,0.015149872532335625
22,304.6003640492757,75.37333973248799,0.060367686052678095,0.06151072339042138,0.01,6,rbf,"{'C': 0.01, 'degree': 6, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,0.7788793326472202,0.27967659238361636,0.010438801573328093,0.011964707141272648
23,300.46972465515137,70.6590010325114,0.060367686052678095,0.06146656158155369,0.01,6,sigmoid,"{'C': 0.01, 'degree': 6, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,1.9820159476592045,0.9773169028340684,0.010438801573328093,0.011902252919469787
24,268.13773584365845,66.78183897336324,0.4939013611454835,0.5064897353921083,0.1,1,linear,"{'C': 0.1, 'degree': 1, 'kernel': 'linear'}",51,0.48,0.4921077065923863,0.49165120593692024,0.5035141227953852,0.5100902814657462,0.5238473767885533,1.5868873346043026,0.6078604866929677,0.012385632460132487,0.013127385339680709
25,303.46963175137836,71.68637013435364,0.060367686052678095,0.06146656158155369,0.1,1,poly,"{'C': 0.1, 'degree': 1, 'kernel': 'poly'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,1.882250862690972,0.8914706534109753,0.010438801573328093,0.011902252919469787
26,305.630788564682,74.2143091360728,0.060367686052678095,0.06151072339042138,0.1,1,rbf,"{'C': 0.1, 'degree': 1, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,4.475142734527316,0.7297215766897518,0.010438801573328093,0.011964707141272648
27,292.36136325200397,70.82100828488667,0.060367686052678095,0.06146656158155369,0.1,1,sigmoid,"{'C': 0.1, 'degree': 1, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,1.3318627806443466,0.9427992122694404,0.010438801573328093,0.011902252919469787
28,255.6251179377238,67.96194791793823,0.4939013611454835,0.5064897353921083,0.1,2,linear,"{'C': 0.1, 'degree': 2, 'kernel': 'linear'}",51,0.48,0.4921077065923863,0.49165120593692024,0.5035141227953852,0.5100902814657462,0.5238473767885533,1.3420031846765903,0.3495423242827736,0.012385632460132487,0.013127385339680709
29,293.41876165072125,71.0935451189677,0.06346119851511402,0.06482285905549823,0.1,2,poly,"{'C': 0.1, 'degree': 2, 'kernel': 'poly'}",89,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.0844397238449283,0.08836777954425014,1.2622682664412628,0.881086746621546,0.014818331246239724,0.01664877393122569
30,303.9078659216563,77.27732801437378,0.060367686052678095,0.06151072339042138,0.1,2,rbf,"{'C': 0.1, 'degree': 2, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,4.302711404710282,1.1509466621666653,0.010438801573328093,0.011964707141272648
31,305.17813205718994,72.02814324696858,0.060367686052678095,0.06146656158155369,0.1,2,sigmoid,"{'C': 0.1, 'degree': 2, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,3.0403923398693036,0.7251568860074381,0.010438801573328093,0.011902252919469787
32,271.8327096303304,69.97409391403198,0.4939013611454835,0.5064897353921083,0.1,3,linear,"{'C': 0.1, 'degree': 3, 'kernel': 'linear'}",51,0.48,0.4921077065923863,0.49165120593692024,0.5035141227953852,0.5100902814657462,0.5238473767885533,1.7210533854707342,1.3894756850555645,0.012385632460132487,0.013127385339680709
33,307.59845328330994,67.58262236913045,0.06602439455541807,0.06698678769001509,0.1,3,poly,"{'C': 0.1, 'degree': 3, 'kernel': 'poly'}",83,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.09214020180562932,0.09485956544780075,2.1748337717707074,1.036287502589916,0.018447085073614422,0.0197090310002722
34,313.5756371815999,74.66985964775085,0.060367686052678095,0.06151072339042138,0.1,3,rbf,"{'C': 0.1, 'degree': 3, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,3.6574027032349052,2.3958523741708198,0.010438801573328093,0.011964707141272648
35,304.98399178187054,75.29316409428914,0.060367686052678095,0.06146656158155369,0.1,3,sigmoid,"{'C': 0.1, 'degree': 3, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,4.653245824709421,0.9892219497101002,0.010438801573328093,0.011902252919469787
36,264.4337629477183,73.41520682970683,0.4939013611454835,0.5064897353921083,0.1,4,linear,"{'C': 0.1, 'degree': 4, 'kernel': 'linear'}",51,0.48,0.4921077065923863,0.49165120593692024,0.5035141227953852,0.5100902814657462,0.5238473767885533,1.6036140695597687,1.430919288098243,0.012385632460132487,0.013127385339680709
37,308.2911998430888,73.50033696492513,0.06690825525897119,0.06809083291170738,0.1,4,poly,"{'C': 0.1, 'degree': 4, 'kernel': 'poly'}",77,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.09479553903345725,0.0981717011128776,0.9094424764577295,1.6407897987103994,0.019698379571434298,0.021270386664805182
38,310.85093998908997,76.34046117464702,0.060367686052678095,0.06151072339042138,0.1,4,rbf,"{'C': 0.1, 'degree': 4, 'kernel': 'rbf'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.0784313725490196,3.3701906743607193,1.0604000292359868,0.010438801573328093,0.011964707141272648
39,306.97882866859436,71.81532939275105,0.060367686052678095,0.06146656158155369,0.1,4,sigmoid,"{'C': 0.1, 'degree': 4, 'kernel': 'sigmoid'}",100,0.052980132450331126,0.05305743467303355,0.05300821627352239,0.05304336294921098,0.07514604354753053,0.07829888712241653,2.4786892773980997,1.2964576146006905,0.010438801573328093,0.011902252919469787
40,265.7691725095113,70.37916723887126,0.4939013611454835,0.5064897353921083,0.1,5,linear,"{'C': 0.1, 'degree': 5, 'kernel': 'linear'}",51,0.48,0.4921077065923863,0.49165120593692024,0.5035141227953852,0.5100902814657462,0.5238473767885533,5.29860381144118,1.6767965941520055,0.012385632460132487,0.013127385339680709
